"Month (MM)","Day (DD)","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Average Across Years"
01,01,0,20.808702,7.097538,16.752535,4.4237247,10.038227,14.834964,13.314798,2.6591394,2.9254284,7.8316617,10.068672
01,02,0,20.597225,7.274848,18.50465,2.674237,10.509096,14.634798,13.255289,2.6591394,2.9532871,7.7262154,10.078878
01,03,0,20.565355,7.274848,18.412352,2.8961,10.063705,14.810847,13.382725,2.655238,2.9985712,7.637455,10.069719
01,04,0,20.565355,7.343019,18.786247,2.4956203,9.921386,14.972352,13.593032,1.9949853,3.5535562,7.5238214,10.074938
01,05,0,20.462618,7.5068636,18.607384,3.25001,9.209312,14.972352,13.730613,1.9307847,3.4951203,7.522066,10.068712
01,06,0,19.738823,7.5813513,18.541182,3.2881665,9.209312,14.564469,14.011264,1.9134285,3.5126793,7.639326,10.000001
01,07,0,20.054873,7.342306,18.462439,3.2881665,8.97734,14.949865,13.858084,1.8768716,3.561468,7.639326,10.001074
01,08,0,20.14595,7.331909,18.410591,3.1957686,9.648576,14.348468,13.938852,1.8046542,3.561468,7.9021297,10.028837
01,09,0,19.9206,7.263279,18.335888,3.1219125,9.860061,14.509577,13.712587,1.8046542,3.787349,7.783065,10.009897
01,10,0,19.514599,7.263279,18.295143,2.654147,10.330953,14.133811,14.156993,1.5621649,4.178584,7.7805157,9.987019
01,11,0,19.514599,7.224431,18.126642,2.7847927,10.427043,14.09333,13.968993,1.731433,4.2568154,7.8133354,9.994141
01,12,0,19.929577,6.804216,18.502014,2.5146825,10.418127,14.09333,13.942838,1.6408871,4.4767566,7.7069306,10.002935
01,13,0,19.63568,6.293913,18.496582,2.6736846,10.418127,14.076998,13.925593,1.8068435,4.395046,7.64722,9.936968
01,14,0,19.630875,6.0867395,18.73276,2.6736846,10.791109,13.191905,14.456163,1.7973338,4.3808312,7.64722,9.93886
01,15,0,19.768568,4.7910576,19.187992,2.6436882,10.615799,13.725975,13.785055,2.108222,4.3808312,8.000596,9.900778
01,16,0,19.657927,4.4422035,19.070839,1.9920651,11.011101,14.336095,13.6070385,2.108222,4.349768,8.071893,9.864716
01,17,0,19.860767,4.4422035,19.185713,2.728629,10.177266,14.359912,13.512922,1.8362811,4.614768,8.027681,9.874615
01,18,0,19.860767,4.423935,18.96613,2.6043184,10.152207,14.755971,13.57752,1.749701,4.697577,7.857712,9.864584
01,19,0,19.745544,4.6198444,18.763357,2.7164688,10.119267,14.755971,13.642127,1.6862195,4.8365207,7.7370143,9.862233
01,20,0,19.130318,4.6887026,18.469278,2.739485,10.119267,14.800105,13.6161785,1.7384535,4.5889297,7.9197583,9.781049
01,21,0,19.959791,4.646861,17.998524,2.739485,10.189689,14.879989,13.459193,1.7272569,4.605436,7.9197583,9.812598
01,22,0,20.124453,4.445696,18.279093,2.8348787,10.4828,14.417651,13.594263,1.651833,4.605436,7.9197583,9.835587
01,23,0,20.343815,4.3375874,18.307863,3.18111,10.0400095,14.7015085,13.359774,1.651833,4.649373,8.059484,9.863236
01,24,0,21.126982,4.3375874,18.36617,3.0490282,10.154094,14.819033,13.215659,1.5841978,4.7173395,8.108932,9.947903
01,25,0,21.126982,4.121103,18.723059,2.9285843,10.185673,14.813208,13.265719,1.5410366,4.727076,8.239664,9.967211
01,26,0,21.126982,4.121103,18.723059,2.9285843,10.185673,14.813208,13.265719,1.5410366,4.727076,8.239664,9.967211
01,27,0,21.590488,4.098195,18.709146,2.864154,10.185673,14.994673,13.125213,1.0921363,4.9251547,8.478387,10.006322
01,28,0,21.881968,3.797926,18.94364,2.864154,10.312344,14.756234,13.312004,1.0467591,4.896389,8.478387,10.02898
01,29,0,22.242355,3.7921965,18.94364,2.245846,11.096252,14.5450325,13.34364,1.0983977,4.896389,8.698119,10.090187
01,30,0,23.054798,23.168535,0.0,2.1964855,11.146613,14.601193,13.34865,1.0983977,4.7798567,8.911011,10.230555
01,31,0,23.129936,23.168535,0.037701573,2.1547778,11.437758,14.290767,13.363119,1.5358517,4.5370226,8.826303,10.248178
02,01,0,23.129936,3.6003582,19.025656,1.0104779,12.034813,14.879998,11.957871,1.7954601,5.907035,9.283474,10.262509
02,02,0,23.664928,2.7861612,19.572248,1.1121123,11.807294,14.879998,11.452622,2.003611,6.3622413,9.390139,10.303136
02,03,0,22.884884,3.0442119,19.595009,1.1592047,11.807294,15.989507,10.67246,1.7022805,6.46656,9.323553,10.264497
02,04,0,22.09631,3.2469666,19.414606,1.1592047,11.597905,16.294163,10.763127,1.6566113,6.3475556,9.323553,10.190001
02,05,0,22.308487,3.2860727,19.218418,0.9422908,11.972973,16.12829,10.207491,2.19148,6.3475556,9.255377,10.185843
02,06,0,22.30736,3.2106667,19.174309,1.1909,12.002219,16.392239,9.699367,2.19148,6.2495914,9.438166,10.185629
02,07,0,22.416656,3.2106667,19.09064,1.6011189,12.186572,16.02828,9.495939,2.19148,6.32598,9.498762,10.204611
02,08,0,22.416656,3.2302883,17.414051,3.400839,11.829954,15.983447,9.720977,2.7617888,5.3400006,9.740149,10.183816
02,09,0,22.331133,3.270252,16.392567,4.2205815,11.958988,15.983447,9.281042,3.420723,5.0209813,9.642824,10.152254
02,10,0,22.040768,3.221273,16.634584,4.0193563,11.958988,16.096592,9.314934,3.7985268,4.468205,9.680751,10.123398
02,11,0,22.428894,3.3434706,16.595558,4.0193563,11.9376745,16.10301,9.583494,3.7932568,4.2315516,9.680751,10.171701
02,12,0,22.94326,3.4501157,16.626604,4.1113286,11.838155,16.108713,9.537727,3.8321133,4.2315516,9.764185,10.244375
02,13,0,23.748404,3.0632277,16.606064,4.1296663,12.236006,16.138119,9.121804,3.8321133,4.210336,9.70471,10.279044
02,14,0,23.4406,3.0632277,16.115393,4.722998,11.840841,16.90086,8.633594,4.289323,3.7078612,9.668655,10.238336
02,15,0,23.4406,2.9479747,16.361908,4.0814457,12.00817,17.32811,8.423051,4.4176965,3.9133701,9.899612,10.282193
02,16,0,23.36414,2.7787755,16.801268,3.9465685,11.984934,17.32811,8.374724,4.4174514,4.075387,9.746029,10.281738
02,17,0,23.232948,2.623446,17.052973,3.8800395,11.984934,17.360674,8.185356,4.6857247,3.8673372,9.845554,10.271898
02,18,0,23.100327,2.7486877,16.898376,3.8800395,12.018258,17.465513,7.771881,5.178691,3.6536772,9.845554,10.256101
02,19,0,23.100327,2.7486877,16.898376,3.8800395,12.018258,17.465513,7.771881,5.178691,3.6536772,9.845554,10.256101
02,20,0,23.179882,2.6198905,16.511301,3.7762966,12.681448,17.200788,7.84402,5.178691,3.814279,9.823013,10.26296
02,21,0,23.055187,2.6198905,16.511301,3.6013408,12.987489,17.08072,7.84402,5.1268125,3.8279774,9.968313,10.262305
02,22,0,23.055187,2.4349968,16.384312,3.5565698,13.056777,17.398802,7.4682183,5.3133593,3.833705,10.11347,10.261539
02,23,0,23.093758,2.0191193,16.957249,3.721161,12.746966,17.398802,7.391715,5.5090313,3.8246853,9.95525,10.261774
02,24,0,23.562859,2.0094237,17.087585,3.721161,12.746966,17.819775,7.117099,5.3041706,3.8696134,10.00935,10.3248005
02,25,0,23.610592,1.5780914,17.5166,3.721161,12.768489,17.797289,7.072319,5.5791397,3.6424236,10.00935,10.329546
02,26,0,23.572348,2.0945134,17.057,3.7559476,12.706004,18.085226,6.2855916,6.124521,3.6424236,10.113849,10.343742
02,27,0,23.753628,19.743387,0.0,3.5115225,12.059831,18.443602,6.4611993,6.124521,3.5543416,10.192048,10.384408
02,28,0,23.251823,19.743387,0.053639032,3.3932662,12.588844,17.905283,6.509379,5.983188,3.6688035,10.242811,10.334042
02,29,0,0,0,15.960817,0,0,0,6.509379,0,0,0,11.235098
03,01,0,23.251823,3.4450095,15.392883,3.7627358,12.716052,17.784883,6.8109074,5.683997,3.7266185,10.277786,10.285269
03,02,0,23.151419,3.5262077,15.675047,3.5127695,12.716052,18.01941,6.821619,5.157664,4.025238,10.280927,10.288635
03,03,0,23.10539,3.5356853,16.044304,3.3132539,12.716052,17.926273,6.8094015,5.0157666,4.3418574,10.194399,10.300239
03,04,0,23.275854,3.48399,15.689058,3.3132539,12.716052,18.660158,6.256621,4.900762,4.350266,10.333022,10.297904
03,05,0,22.861326,3.7111375,15.689058,3.2257013,13.001544,18.641685,5.9501143,5.043798,4.350266,10.3769245,10.285154
03,06,0,22.57444,3.7111375,15.396539,3.5496,12.916549,19.218721,5.453254,5.043798,4.4215326,10.332471,10.261805
03,07,0,22.534409,3.7111375,15.43055,3.9231231,12.514724,19.179333,5.453254,4.624488,4.8400297,10.467342,10.267839
03,08,0,27.21055,0.0,15.260892,4.2348037,12.537079,18.853842,5.450906,4.5653243,4.6216955,10.762976,10.349807
03,09,0,22.30579,3.9929626,15.2581415,4.1438723,12.656744,19.757496,4.5204253,4.720237,4.6361527,10.72644,10.271826
03,10,0,21.79898,4.2764487,14.392988,4.8570676,12.656744,19.757496,4.5166893,5.0921016,4.3575115,10.633194,10.233923
03,11,0,21.292337,4.322326,14.348981,4.8570676,12.832915,19.090397,4.9380507,4.956007,4.49283,10.850865,10.198178
03,12,0,21.451475,4.1518316,14.348981,5.0767603,12.571894,18.370136,5.4950624,5.0605407,4.49283,10.791865,10.181136
03,13,0,21.004936,4.503271,14.348981,4.9969296,12.622296,17.254995,6.531636,5.0605407,4.909469,10.272438,10.150549
03,14,0,21.140144,4.8533173,14.286787,4.739542,12.546326,17.293602,6.531636,5.0993967,4.9977503,10.140609,10.162911
03,15,0,21.140144,5.0922003,14.618904,4.468313,12.487622,17.051897,6.4988003,5.279688,4.8180027,10.111752,10.156733
03,16,0,21.158289,5.38941,14.467036,4.7680664,11.981087,17.982029,5.8121495,5.239933,4.8115864,10.000854,10.161044
03,17,0,21.365534,5.7949166,13.78523,4.812578,11.981087,17.602177,6.1292963,5.4401717,4.6706686,9.965274,10.154693
03,18,0,20.9561,6.039812,13.644065,4.812578,12.257382,16.888264,6.4780912,5.476414,4.6706686,9.965274,10.118864
03,19,0,21.05739,5.808929,13.644065,4.768777,12.095299,15.667885,8.282889,5.0081315,4.6706686,9.7627,10.0766735
03,20,0,21.084236,5.786479,13.637377,4.8115525,12.264469,16.526657,7.285418,5.0081315,4.9246073,9.51157,10.08405
03,21,0,20.881784,6.6163692,12.893625,4.8401604,12.093868,16.526657,7.285418,5.019244,4.8064365,9.879035,10.084259
03,22,0,20.881784,6.49299,13.738034,4.3595037,12.243689,16.173601,7.7493367,4.3316693,5.0429187,9.717932,10.073146
03,23,0,0.0,6.4141316,13.856283,4.439422,12.078536,15.022577,9.246538,4.0148683,5.07236,9.599333,7.974405
03,24,0,20.668886,6.4785385,13.908698,4.3913655,12.078536,15.375966,9.145254,3.8430882,5.124537,9.491575,10.050645
03,25,0,20.459547,6.684831,13.908698,4.3913655,12.482696,14.961411,9.041552,4.076572,4.988456,9.491575,10.04867
03,26,0,20.177664,6.864099,13.908698,4.1587057,12.756961,15.735313,8.4157,3.9561944,4.988456,9.486734,10.044852
03,27,0,20.441866,6.736948,14.815963,5.463828,10.556,17.009012,7.1633935,3.9561944,5.113248,9.35675,10.06132
03,28,0,20.260405,7.0150957,14.51754,5.366739,10.950155,16.700766,7.1633935,3.9126608,5.19411,9.318468,10.039932
03,29,0,20.260405,6.7637367,14.559842,5.57581,10.9440565,16.707182,7.1633935,3.9100184,5.323327,9.187125,10.03949
03,30,0,19.90979,7.084609,14.6354065,5.4976482,10.945884,16.255354,7.649075,4.1412535,5.020193,9.187125,10.032635
03,31,0,20.929398,6.4975147,14.312412,5.5245247,10.924386,16.473566,7.39851,4.070174,5.1363783,9.167822,10.043469
04,01,0,20.929398,6.4975147,14.312412,5.5245247,10.924386,16.473566,7.39851,4.070174,5.1363783,9.167822,10.043469
04,02,0,22.203175,6.4975147,14.312412,5.5245247,11.307448,16.072721,7.39851,4.070174,5.1363783,9.167822,10.169067
04,03,0,22.778082,6.4975147,14.282984,6.136286,10.7950735,15.135044,8.17478,4.070174,5.14947,9.15423,10.217363
04,04,0,23.428822,6.842298,13.914189,6.4472513,10.222213,15.395344,8.17478,3.77477,5.448787,9.15423,10.280269
04,05,0,23.428822,6.955916,13.847397,7.800066,8.563309,15.633291,8.36309,3.6554334,5.652594,8.879556,10.277947
04,06,0,23.825365,6.6126127,13.253329,8.244714,8.685276,15.633291,8.528572,3.4737232,6.0815697,8.464061,10.2802515
04,07,0,23.293755,7.7316933,12.418394,8.328807,8.685276,14.726005,9.861346,3.089196,6.017375,8.464061,10.26159
04,08,0,23.274424,7.748589,12.418394,8.328807,8.350608,14.565208,10.59944,2.0058773,6.9068365,8.464061,10.266225
04,09,0,23.0308,7.6590977,12.418394,8.035526,8.711266,14.535342,10.456628,2.1018822,6.9068365,8.464061,10.231983
04,10,0,22.707846,7.7502813,12.483173,7.0875287,9.683585,14.458998,10.456628,2.1018822,6.911533,8.459296,10.210074
04,11,0,22.188147,8.060828,12.545263,5.8026648,10.708599,14.383391,10.456628,1.7929622,7.186765,8.509102,10.163435
04,12,0,22.188147,8.31177,12.584258,5.6766067,10.541298,14.3878,10.320431,1.8243984,7.3138022,8.48095,10.162947
04,13,0,22.21019,7.9597983,13.245401,5.6884203,10.222019,14.48854,10.223357,1.5521827,7.55593,8.526875,10.167272
04,14,0,22.21019,7.9597983,13.245401,5.6884203,10.222019,14.48854,10.223357,1.5521827,7.55593,8.526875,10.167272
04,15,0,22.034945,7.866769,13.245401,5.6884203,10.263891,14.985465,9.358841,1.8739431,7.55593,8.526875,10.140048
04,16,0,21.929195,7.90565,13.245401,5.5563025,10.393999,15.298048,9.131266,1.8169074,7.55593,8.526875,10.135958
04,17,0,21.15348,7.861693,13.217081,5.535247,10.443645,15.508274,8.932647,1.8169074,7.60533,8.477052,10.055136
04,18,0,21.15348,8.020712,13.014153,5.323985,10.534976,15.681436,8.932647,2.0189798,7.4783664,8.390078,10.054881
04,19,0,21.15348,8.020712,13.0460615,4.341633,11.544142,15.681436,8.979812,2.2161632,7.250703,8.363703,10.059784
04,20,0,21.249329,7.9337525,13.087588,3.8815958,11.998598,17.53173,7.2088084,2.4863255,7.1021557,8.283814,10.07637
04,21,0,20.659302,7.5683355,12.993671,4.2150774,11.998598,17.67834,7.0752397,2.356405,7.4496384,8.070634,10.006525
04,22,0,20.480524,7.5644917,12.835365,4.2150774,11.702288,17.907612,7.410182,1.9745572,7.5912547,8.070634,9.975198
04,23,0,20.506645,7.574577,17.44628,0.0,11.932466,19.180555,6.1069517,2.0404618,7.5912547,8.070634,10.044982
04,24,0,20.281742,7.77572,12.977641,4.318998,11.91119,18.049074,6.770815,2.0404618,7.9913573,7.6702375,9.978723
04,25,0,20.458565,7.620031,13.439134,3.8520195,11.891344,18.28931,6.770815,2.6347442,7.5672936,7.46881,9.999206
04,26,0,20.458565,7.58874,13.163807,3.8850045,12.527376,17.903723,7.053342,2.325121,7.6361237,7.440767,9.998258
04,27,0,20.552809,7.510887,13.165225,3.9277825,12.473105,18.10106,6.9698787,2.2412434,7.694307,7.3749547,10.001125
04,28,0,20.46169,7.427052,13.087591,4.011989,12.473105,18.048838,6.990663,2.0246263,7.9365005,7.3881154,9.985018
04,29,0,19.893373,7.837556,12.887279,4.011989,12.473105,18.035648,7.071537,2.016363,7.875763,7.3881154,9.949074
04,30,0,19.641844,8.06427,12.887279,4.011989,12.470004,18.14444,7.0815134,1.9157356,7.875763,7.3881154,9.948095
05,01,0,19.641844,8.06427,12.887279,4.011989,12.470004,18.14444,7.0815134,1.9157356,7.875763,7.3881154,9.948095
05,02,0,19.317097,8.164675,12.605523,4.3441887,12.510952,17.910456,7.0815134,1.9826493,7.8769913,7.316434,9.911048
05,03,0,19.317097,8.025046,12.89486,4.2395973,12.658126,17.724445,7.1326923,1.9339306,8.454301,6.74518,9.912527
05,04,0,19.317097,8.167817,12.646497,4.322522,12.66786,18.072271,6.806423,0.2510513,10.405049,6.629984,9.928658
05,05,0,18.781347,8.049186,12.738782,4.1970797,12.66786,18.489643,6.57304,-0.15918703,10.7101145,6.629984,9.8677845
05,06,0,18.503277,8.361486,12.78048,4.1970797,12.844975,18.732424,6.3844132,-0.6217332,11.020255,6.629984,9.883265
05,07,0,17.98877,8.989302,12.78048,4.7462273,12.398855,18.57874,6.381189,-0.6187212,11.020255,6.629984,9.889508
05,08,0,17.591087,9.181745,12.929152,5.1439176,11.986946,18.768068,6.059256,-0.6187212,11.003261,6.6463075,9.869102
05,09,0,17.43691,9.333774,12.70984,4.4823647,12.727549,18.800459,6.059256,-0.69405353,11.143708,6.5923424,9.859215
05,10,0,17.43691,9.343273,12.7000475,4.4361005,12.802705,18.7739,6.0946155,-0.07920387,10.442914,6.5731087,9.852437
05,11,0,17.952057,8.899624,12.702612,4.372314,12.83394,17.731056,7.0635715,0.2488126,10.140019,6.487488,9.843149
05,12,0,17.470108,9.347865,12.8238325,4.1628985,12.83394,17.816694,7.0195413,0.49832615,9.989415,6.3349657,9.82976
05,13,0,17.746326,9.263974,12.91938,4.1628985,13.10042,17.998892,6.6025333,0.2197493,10.295148,6.3349657,9.864429
05,14,0,17.828274,9.1879835,12.91938,3.4737828,14.06243,18.167988,6.1940064,0.27744108,10.295148,6.3349657,9.874141
05,15,0,17.434858,9.40502,13.648306,2.382734,14.518656,18.132032,6.2447977,0.27744108,10.417295,6.2173347,9.867848
05,16,0,17.48402,9.435903,13.369467,2.5858045,14.708116,21.78062,2.9112883,0.27744108,10.619299,6.02337,9.919533
05,17,0,17.48402,9.416107,13.431958,2.551026,14.715752,21.768728,3.0511546,-0.14523073,11.051037,5.9142685,9.9238825
05,18,0,17.793837,9.011426,13.758649,2.5763674,14.480685,18.120628,6.170009,0.17257342,10.7061205,5.97086,9.876116
05,19,0,18.207424,8.592932,13.735812,2.5508964,14.480685,18.312626,6.0128527,0.20799881,10.613643,6.0068254,9.8721695
05,20,0,18.077572,8.522437,13.708638,2.5508964,14.961286,17.779137,6.1629486,0.0077776983,10.7149315,6.0068254,9.849244
05,21,0,17.475414,8.559973,13.708638,2.7049973,14.784454,17.871088,6.249116,-0.14750569,10.7149315,6.0068254,9.792794
05,22,0,17.213364,8.4142475,14.394322,2.213437,14.927509,18.374083,5.5377045,-0.14750569,10.882526,5.8466005,9.76563
05,23,0,16.599703,8.541415,14.284886,1.9667873,15.590953,17.953976,5.5377045,-0.15656283,10.785022,5.949368,9.705325
05,24,0,16.599703,8.496671,14.270519,1.9786121,15.853326,17.73653,5.5763907,-0.0901107,10.762254,5.8618593,9.7045765
05,25,0,16.644552,8.48399,14.495267,2.2483814,15.289983,17.73653,5.6373806,0.036194414,10.5585375,5.8618593,9.699268
05,26,0,16.74526,8.64392,14.636515,2.1187067,15.289983,17.869974,5.517785,0.10944619,10.46214,5.8767138,9.727045
05,27,0,16.5524,8.5863495,14.631541,2.1187067,15.744102,17.44434,5.405157,-0.009055432,10.676507,5.8767138,9.702677
05,28,0,16.582855,8.439862,14.631541,2.5969608,15.509592,17.175735,5.239675,0.11267604,10.676507,5.8767138,9.684213
05,29,0,16.436882,8.276818,14.485437,2.5781639,16.02986,16.79299,5.264552,0.11267604,10.602766,5.947304,9.652745
05,30,0,15.6763735,8.463201,14.405674,2.5054767,15.922004,16.864948,5.264552,-0.06951773,10.835954,5.917158,9.578582
05,31,0,15.6763735,8.438144,14.570771,2.0467043,17.17256,15.9969015,4.995957,-0.046315107,11.230102,5.7872663,9.586846
06,01,0,15.644667,8.337059,15.3063545,1.5074861,17.18486,15.773913,5.149924,0.048062623,11.217301,5.7481523,9.591778
06,02,0,14.836079,9.196231,15.108729,1.5635285,17.18486,15.7844515,5.21047,-0.10775724,11.316552,5.7481523,9.58413
06,03,0,13.916327,9.512444,15.062194,1.5635285,17.728497,15.260291,5.212722,-0.29553774,11.513657,5.7481523,9.522227
06,04,0,13.026227,10.0527525,15.062194,1.4838517,17.437614,15.738104,5.0484858,-0.22732389,11.513657,5.7481523,9.488371
06,05,0,12.081893,10.058873,15.076632,1.7094978,17.162374,15.731256,5.054702,-0.22732389,11.5132265,5.7485604,9.390969
06,06,0,11.557355,10.281343,15.029644,0.8862613,18.900509,14.784958,5.054702,-0.4814972,11.892449,5.65933,9.356505
06,07,12.819995,11.557355,10.227318,16.453426,-0.863482,19.45219,14.906145,5.2307434,-0.79711825,12.104671,5.6178517,9.700827
06,08,12.819995,11.498852,10.256535,17.320017,-0.8972628,18.641054,15.079686,5.2564597,-0.72365505,11.604216,5.8272266,9.698466
06,09,12.495003,11.973866,10.139321,17.540377,-1.1130022,18.641054,15.137699,5.241559,-0.74323773,11.466273,5.9406934,9.701782
06,10,12.423,11.767163,10.4081135,17.546309,-1.1130022,18.054409,15.748203,5.3010807,-0.9097867,11.553537,5.9406934,9.701793
06,11,12.561998,11.214269,10.819984,17.546309,-1.2773477,18.450949,15.573729,5.425806,-1.0449787,11.553537,5.9406934,9.705905
06,12,12.444,11.133539,11.016865,17.516033,-1.2635673,18.778028,15.111116,5.570473,-1.0449787,11.675318,5.825166,9.705636
06,13,12.123003,11.451704,10.843213,17.851032,-1.1908966,18.568468,15.082221,5.570473,-1.4043515,12.124268,5.7856164,9.709522
06,14,12.123003,11.451704,10.944043,17.878805,-1.2862052,19.343052,14.314729,5.5623007,-1.3170935,12.027259,5.791791,9.712127
06,15,12.123003,11.649705,10.765668,17.763334,-0.95962554,19.046408,14.4341955,5.128473,-1.0111456,11.926668,5.8845515,9.704658
06,16,11.938,11.717198,10.961665,17.571095,-0.86917037,19.046408,14.153714,5.2370834,-0.83056486,11.780194,5.9807777,9.698764
06,17,12.192001,11.861809,10.619122,17.516045,-0.86917037,19.30858,13.9775,5.1367965,-0.66949403,11.632242,5.9807777,9.698746
06,18,11.732998,13.028379,9.927154,17.516045,-0.65218174,20.118458,13.164653,4.9573855,-0.67808867,11.632242,5.9807777,9.702529
06,19,11.556997,13.839566,9.316039,17.727102,-0.68406266,20.011833,13.219064,4.845551,-0.67808867,11.654018,5.9601088,9.706193
06,20,11.239004,14.164993,9.376671,17.777021,-0.607588,20.458424,12.602295,4.845551,0.015564637,10.828622,6.0088925,9.700859
06,21,11.239004,14.164993,9.458562,17.824156,-0.4835653,19.589195,13.149355,4.916283,-0.051863633,10.807006,6.0295715,9.69479
06,22,11.239004,14.080488,9.772107,17.437529,-0.44867477,19.686857,13.205787,4.815035,-0.005187136,10.631451,6.197825,9.69202
06,23,10.998001,14.242601,9.858289,17.436895,-0.45171562,19.686857,13.1739855,4.8163877,0.32781756,10.314074,6.178314,9.689228
06,24,11.337004,13.64955,10.2731285,17.247526,-0.45171562,19.759926,13.025978,4.915463,0.29963163,10.3178835,6.178314,9.686608
06,25,11.332998,13.336571,10.581628,17.247526,-0.55868405,19.682219,13.303714,4.637179,0.49298665,10.3178835,6.178314,9.686576
06,26,11.152,13.483339,10.618447,17.247526,-0.62041676,19.569576,13.498386,4.62106,0.49298665,10.395904,6.1032743,9.687462
06,27,11.073999,13.563032,11.099658,16.689028,-0.706298,19.971298,13.265326,4.62106,0.63204813,10.267457,6.0800776,9.686973
06,28,11.073999,13.563032,11.3787155,15.928313,-0.5826741,20.41365,13.164251,4.382211,0.6721365,10.556414,6.002692,9.686613
06,29,11.073999,13.319947,11.617637,15.933296,-0.41933635,20.210976,13.286319,4.2656636,0.6817201,10.550211,6.002692,9.68392
