"Month (MM)","Day (DD)","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","Average Across Years"
01,01,0,-23.398722,26.670027,9.094199,33.50898,-2.283074,5.2625303,27.904541,2.2758179,11.068596,15.911638,25.838182,5.1113467,27.337383,16.046366,12.881988
01,02,0,-23.752277,28.237661,6.9008164,37.025272,-3.5798798,5.3942657,27.85492,1.1127226,13.260878,14.876423,25.838182,5.723039,26.109264,18.52631,13.109115
01,03,0,-23.955614,28.790163,6.1829987,37.000523,-3.5798798,5.561427,27.634212,0.030894076,13.913378,15.470177,27.736244,4.380935,25.43685,18.22368,13.058998
01,04,0,-22.174402,25.711155,5.9079275,37.000523,-5.6421313,7.920605,28.432232,-0.16675298,13.374968,16.532627,27.75949,2.3088853,27.959278,17.140999,13.004671
01,05,0,-22.295784,26.137102,5.9079275,36.723896,-5.45843,9.103613,27.993393,-0.9031084,13.374968,17.223127,27.880133,1.4644864,28.143152,17.140999,13.031106
01,06,0,-21.452139,26.134346,5.62018,32.990112,-3.0876503,9.274533,28.516253,-0.9031084,11.127831,19.218988,27.225807,1.5934348,29.042835,14.927949,12.873527
01,07,0,-21.04685,26.261547,5.0717306,33.13386,-5.160295,12.011337,28.516253,-0.5061272,11.221011,18.824636,27.582085,1.1555666,29.042835,15.266235,12.955272
01,08,0,-21.04685,25.66395,5.66739,35.188847,-6.1199293,11.335007,29.18423,-0.73875016,10.658196,20.911518,25.65996,1.1555666,28.151825,15.458734,12.937836
01,09,0,-20.936903,25.737753,5.3792615,36.11113,-6.685934,11.248469,29.469528,-0.41921398,11.928926,18.985144,25.65996,2.5006115,26.717974,14.208468,12.850369
01,10,0,-19.242151,25.393196,6.1314564,35.836105,-6.685934,11.910181,28.58132,-0.5719993,12.616253,18.553663,26.965578,0.45500907,28.166403,12.724597,12.91669
01,11,10.170002,-15.478807,22.60919,6.203035,35.836105,-7.211722,13.832065,27.3647,-1.0136744,12.90739,19.513958,26.182613,0.14004605,28.437725,12.62814,12.808051
01,12,10.622976,-15.14893,22.334616,6.203035,36.466206,-8.433056,15.156357,27.308893,-1.2614505,12.90739,20.06962,26.723333,-0.8490176,28.56768,12.62814,12.886385
01,13,11.689031,-17.10918,23.089027,7.8803554,33.96365,-7.5867157,14.314566,27.433058,-1.2614505,13.625503,19.206047,27.151419,-0.56600887,27.882385,10.205988,12.661179
01,14,9.753269,-15.650575,22.769901,8.160777,33.609657,-7.8298326,14.919762,27.433058,-1.7467585,14.51023,19.150585,26.808588,-0.53256834,27.882385,11.196999,12.695699
01,15,9.51281,-15.650575,24.238302,7.677295,36.094376,-11.543785,16.690762,27.833494,-0.82037973,12.992093,17.918526,28.239237,-0.53256834,30.238132,9.346758,12.815632
01,16,9.51281,-15.057654,24.027363,6.9495673,36.610172,-11.747609,16.84608,27.010424,-0.24854968,13.05052,17.784565,28.239237,-0.8768481,30.350107,10.435135,12.859022
01,17,7.700276,-13.492193,22.732574,6.956099,37.826027,-11.747609,16.65395,28.258911,-0.9436509,12.97192,17.73182,28.655605,-0.5551329,27.25668,11.746756,12.783468
01,18,7.6664925,-11.855328,21.207125,6.297878,37.826027,-12.915047,18.433516,28.267014,-1.2973585,13.16309,16.319206,28.62618,1.2012385,26.243153,12.058802,12.749466
01,19,9.905512,-13.108457,21.473473,6.297878,38.422085,-12.1864605,17.247242,28.763824,-1.9315369,13.16309,18.319572,25.355673,1.8465785,27.781273,10.970158,12.821325
01,20,9.31125,-11.512769,19.972376,7.0543885,39.772484,-15.051025,17.851866,30.216854,-1.9315369,11.989849,20.52434,23.337055,2.2860417,28.279032,11.546428,12.909777
01,21,12.645301,-11.825516,20.426178,6.7423806,40.2005,-15.762025,18.382298,30.216854,-1.5357387,11.053432,20.543192,22.569069,3.3614388,28.279032,9.791323,13.005849
