Date (MM/DD/YYYY),Net Asset Value (INR)
12/26/2023,10.0000
12/27/2023,10.0000
12/28/2023,10.0000
12/29/2023,10.0017
01/01/2024,10.0070
01/02/2024,10.0088
01/03/2024,10.0100
01/04/2024,10.0118
01/08/2024,10.0188
01/09/2024,10.0205
01/10/2024,10.0203
01/11/2024,10.0221
01/15/2024,10.0292
01/16/2024,10.0309
01/17/2024,10.0326
01/18/2024,10.0344
01/19/2024,10.0352
01/23/2024,10.0423
01/24/2024,10.0441
01/25/2024,10.0382
01/29/2024,10.0530
01/30/2024,10.0548
01/31/2024,10.0566
02/01/2024,10.0584
02/02/2024,10.0601
02/05/2024,10.0651
02/06/2024,10.0668
02/07/2024,10.0685
02/08/2024,10.0701
02/09/2024,10.0719
02/12/2024,10.0772
02/13/2024,10.0790
02/14/2024,10.0808
02/15/2024,10.0825
02/16/2024,10.0843
02/20/2024,10.0913
02/21/2024,10.0931
02/22/2024,10.0948
02/23/2024,10.0964
02/26/2024,10.1017
02/27/2024,10.1035
02/28/2024,10.1052
02/29/2024,10.1069
03/01/2024,10.1087
03/04/2024,10.1139
03/05/2024,10.1156
03/06/2024,10.1173
03/07/2024,10.1190
03/11/2024,10.1260
03/12/2024,10.1278
03/13/2024,10.1295
03/14/2024,10.1312
03/15/2024,10.1329
03/19/2024,10.1400
03/20/2024,10.1417
03/21/2024,10.1434
03/22/2024,10.1452
03/26/2024,10.1524
03/27/2024,10.1542
03/28/2024,10.1560
03/31/2024,10.1622
04/02/2024,10.1654
04/03/2024,10.1671
04/04/2024,10.1689
04/05/2024,10.1707
04/08/2024,10.1759
