Date (MM/DD/YYYY),Net Asset Value (INR)
10/01/2025,10.0000
10/06/2025,10.0024
10/07/2025,10.0039
10/08/2025,10.0050
10/09/2025,10.0058
10/10/2025,10.0065
10/13/2025,10.0087
10/14/2025,10.0096
10/15/2025,10.0106
10/16/2025,10.0117
10/17/2025,10.0127
10/20/2025,10.0160
10/23/2025,10.0185
10/24/2025,10.0197
10/27/2025,10.0228
10/28/2025,10.0239
10/29/2025,10.0251
10/30/2025,10.0260
10/31/2025,10.0271
11/03/2025,10.0311
11/04/2025,10.0324
11/06/2025,10.0345
11/07/2025,10.0382
11/10/2025,10.0406
11/11/2025,10.0415
11/12/2025,10.0424
11/13/2025,10.0433
