Date,SM001018,SM002018,SM003018
07/08/2025,10.0064,10.0058,10.0056
07/09/2025,10.0073,10.0072,10.0058
07/10/2025,10.0082,10.0084,10.0069
07/11/2025,10.0089,10.0096,10.0077
07/14/2025,10.0128,10.0139,10.0114
07/15/2025,10.0136,10.0157,10.0122
07/16/2025,10.0145,10.017,10.0135
07/17/2025,10.0152,10.0185,10.0148
07/18/2025,10.0161,10.0199,10.0161
07/21/2025,10.0198,10.0243,10.0203
07/22/2025,10.0208,10.0256,10.0217
07/23/2025,10.0218,10.0272,10.0232
07/24/2025,10.0228,10.0286,10.0248
07/25/2025,10.0237,10.03,10.0275
07/28/2025,10.0275,10.0344,10.0297
07/29/2025,10.0284,10.0358,10.0315
07/30/2025,10.0293,10.0372,10.0334
07/31/2025,10.0302,10.0383,10.0329
08/01/2025,10.0312,10.0399,10.0315
08/04/2025,10.035,10.0446,10.0457
08/05/2025,10.0359,10.0462,10.047
08/06/2025,10.0368,10.0477,10.036
08/07/2025,10.0377,10.0491,10.037
08/08/2025,10.0386,10.0507,10.031
08/11/2025,10.043,10.055,10.0353
08/12/2025,10.0425,10.0563,10.0278
08/13/2025,10.0435,10.0579,10.032
08/14/2025,10.0444,10.0597,10.0462
08/18/2025,10.0496,10.0659,10.0368
08/19/2025,10.0505,10.0675,10.0263
08/20/2025,10.0515,10.069,10.039
08/21/2025,10.0524,10.0706,10.0451
08/22/2025,10.0534,10.0719,10.0335
08/25/2025,10.0573,10.0763,10.0294
08/26/2025,10.0583,10.0776,10.0024
08/28/2025,10.0607,10.0803,10.0091
08/29/2025,10.1874,10.0377,9.9468
09/01/2025,10.19,10.0451,9.9516
09/02/2025,10.1934,10.0452,9.9528
09/03/2025,10.2006,10.0476,9.9542
09/04/2025,10.2085,10.067,9.9621
09/05/2025,10.2159,10.0784,9.9694
09/09/2025,10.218,10.0882,9.9738
09/10/2025,10.2191,10.0928,9.9755
09/11/2025,10.2221,10.0926,9.9792
09/12/2025,10.2223,10.0998,9.978
09/15/2025,10.2266,10.1015,9.9793
09/16/2025,10.2258,10.1211,9.971
09/17/2025,10.2312,10.141,9.9766
09/18/2025,10.2264,10.1392,9.9714
09/19/2025,10.2309,10.1388,9.975
09/22/2025,10.2362,10.1383,9.9823
09/23/2025,10.2407,10.141,9.9883
09/24/2025,10.2388,10.1327,9.9877
09/25/2025,10.2395,10.1289,9.9883
09/26/2025,10.2381,10.1114,9.9752
09/29/2025,10.2388,10.1214,9.9776
09/30/2025,10.2361,10.1058,9.9702
10/01/2025,10.2489,10.1242,9.9969
10/06/2025,10.256,10.1623,10.0248
10/07/2025,10.2517,10.1737,10.0377
10/08/2025,10.2599,10.1735,10.0396
10/09/2025,10.2664,10.186,10.0382
10/10/2025,10.2706,10.1928,10.0421
10/13/2025,10.2707,10.1993,10.0599
10/14/2025,10.2648,10.2102,10.0636
10/15/2025,10.2731,10.2299,10.0764
10/16/2025,10.2859,10.2503,10.0816
10/17/2025,10.3018,10.2546,10.0894
10/20/2025,10.3136,10.251,10.1007
10/23/2025,10.3178,10.2412,10.0858
10/24/2025,10.3144,10.2328,10.0796
10/27/2025,10.3372,10.2558,10.0879
10/28/2025,10.3327,10.2588,10.0847
10/29/2025,10.3481,10.279,10.1039
10/30/2025,10.3213,10.2518,10.0834
10/31/2025,10.318,10.2351,10.0862
11/03/2025,10.3162,10.2493,10.096
11/04/2025,10.3118,10.2445,10.0942
11/06/2025,10.3193,10.2364,10.0933
11/07/2025,10.3027,10.2379,10.0903
11/10/2025,10.3306,10.2589,10.1067
11/11/2025,10.3425,10.2636,10.1156
11/12/2025,10.3658,10.2768,10.1271
11/13/2025,10.3699,10.2656,10.1297
